,obj gurobi,status ,solve time,obj CCopt,status,solve time,obj Ipopt,,
quad_b0.04_S50.dat,73.57594054062497,4,2.3339998722076416,73.57594053375418,10,0.12899994850158691,73.57594054062497,4,2.2230000495910645
quad_b0.05_S10.dat,58.90990251396754,4,0.16099977493286133,59.02015145845276,10,0.031000137329101562,58.90990251396754,4,0.17199993133544922
quad_b0.05_S15.dat,58.91528291046564,4,0.38299989700317383,58.94585578704482,10,0.057000160217285156,58.91528291046564,4,0.37800002098083496
quad_b0.05_S20.dat,58.94181750902387,4,0.5169999599456787,58.96520823267928,10,0.06800007820129395,58.94181750902387,4,0.5169999599456787
quad_b0.05_S25.dat,58.92318360306235,4,0.8050000667572021,58.93719670740512,10,0.08299994468688965,58.92318360306235,4,0.7960000038146973
quad_b0.05_S30.dat,58.93443540818987,4,0.9529998302459717,58.9346273224796,10,0.11700010299682617,58.93443540818987,4,0.9309999942779541
quad_b0.05_S35.dat,58.87472229767027,4,1.0360000133514404,58.87588988867588,10,0.10000014305114746,58.87472229767027,4,1.0079998970031738
quad_b0.05_S40.dat,58.870451105675805,4,1.244999885559082,58.87060348472573,10,0.10699987411499023,58.870451105675805,4,1.2209999561309814
quad_b0.05_S45.dat,58.90752578674038,4,1.6100001335144043,58.93340144026576,10,0.13200020790100098,58.90752578674038,4,1.616999864578247
quad_b0.05_S5.dat,58.87630586544854,4,0.10299992561340332,58.897146840995006,10,0.02500009536743164,58.87630586544854,4,0.09500002861022949
quad_b0.05_S50.dat,58.87678344359325,4,1.8640000820159912,58.87904664583914,10,0.11500000953674316,58.87678344359325,4,1.74399995803833
quad_b0.1_S10.dat,33.25213574266543,4,0.10400009155273438,33.25213580972395,10,0.01900005340576172,33.25213574266543,4,0.11300015449523926
quad_b0.1_S15.dat,32.73244706410563,4,0.28799986839294434,32.730803751503885,10,0.015000104904174805,32.73244706410563,4,0.3020000457763672
quad_b0.1_S20.dat,33.74125227921571,4,0.34999990463256836,33.80765778305535,10,0.04699993133544922,33.74125227921571,4,0.3530001640319824
quad_b0.1_S25.dat,33.31905517604121,4,0.36500000953674316,33.31905525384673,10,0.03099989891052246,33.31905517604121,4,0.38899993896484375
quad_b0.1_S30.dat,35.35277892044318,4,0.6200001239776611,35.35277901993615,10,0.06699991226196289,35.35277892044318,4,0.6349999904632568
quad_b0.1_S35.dat,32.41154328532809,4,0.6710000038146973,32.41164765207806,10,0.06699991226196289,32.41154328532809,4,0.681999921798706
quad_b0.1_S40.dat,35.43409373559055,4,1.0230000019073486,35.43409383714734,10,0.06700015068054199,35.43409373559055,4,1.0289998054504395
quad_b0.1_S45.dat,36.34241550605583,4,1.1419999599456787,36.35969391605893,10,0.07399988174438477,36.34241550605583,4,1.1089999675750732
quad_b0.1_S5.dat,34.388469868861115,4,0.03299999237060547,34.38846990444148,10,0.0,34.388469868861115,4,0.056999921798706055
quad_b0.1_S50.dat,32.9209940879838,4,1.500999927520752,32.920994100283195,10,0.12299990653991699,32.9209940879838,4,1.437999963760376
quad_b0.5_S10.dat,17.074111290513137,4,0.13299989700317383,27.659631451986986,10,0.03099989891052246,17.074111290513137,4,0.13400006294250488
quad_b0.5_S15.dat,24.315170248051434,4,0.28800010681152344,27.131766997045116,10,0.03099989891052246,24.315170248051434,4,0.2850000858306885
quad_b0.5_S20.dat,30.895055908921073,4,0.25500011444091797,30.895056001644836,10,0.04699993133544922,30.895055908921073,4,0.24300003051757812
quad_b0.5_S25.dat,26.423909628142383,4,0.3880000114440918,26.423909738334196,10,0.04699993133544922,26.423909628142383,4,0.38899993896484375
quad_b0.5_S30.dat,25.69596452124954,4,0.37199997901916504,25.695964659163135,10,0.06300020217895508,25.69596452124954,4,0.372999906539917
quad_b0.5_S35.dat,22.123135788921086,4,1.0600001811981201,22.123135810409646,10,0.10099983215332031,22.123135788921086,4,1.065999984741211
quad_b0.5_S40.dat,30.362124039202524,4,1.0739998817443848,30.362124173123892,10,0.10000014305114746,30.362124039202524,4,1.0490000247955322
quad_b0.5_S45.dat,33.626351975625084,4,1.1180000305175781,33.62635212404372,10,0.15000009536743164,33.626351975625084,4,1.0880000591278076
quad_b0.5_S5.dat,29.473731532927495,4,0.04999995231628418,29.473731541705654,4,0.0,29.473731532927495,4,0.0559999942779541
quad_b0.5_S50.dat,22.033175758370906,4,1.88100004196167,22.033175925889434,10,0.1099998950958252,22.033175758370906,4,1.8220000267028809
quad_b0.7_S10.dat,17.697890712926878,4,0.08299994468688965,28.267251364629267,10,0.016000032424926758,17.697890712926878,4,0.09399986267089844
quad_b0.7_S15.dat,24.246499884450994,4,0.3280000686645508,24.246499985446597,10,0.04699993133544922,24.246499884450994,4,0.32899999618530273
quad_b0.7_S20.dat,31.32970954697214,4,0.30100011825561523,31.329709638516682,10,0.04399991035461426,31.32970954697214,4,0.2840001583099365
quad_b0.7_S25.dat,26.765306749952018,4,0.5299999713897705,24.131015778231355,10,0.06500005722045898,26.765306749952018,4,0.5340001583099365
quad_b0.7_S30.dat,25.489241750747812,4,0.36699986457824707,26.853520137021494,10,0.1419999599456787,25.489241750747812,4,0.3619999885559082
quad_b0.7_S35.dat,22.710098551050034,4,1.1770000457763672,22.717668352099636,10,0.0989999771118164,22.710098551050034,4,1.1719999313354492
quad_b0.7_S40.dat,30.807534679503956,4,1.0850000381469727,30.82830107198663,10,0.08299994468688965,30.807534679503956,4,1.061000108718872
quad_b0.7_S45.dat,34.966364243298166,4,1.628999948501587,34.415223975763865,10,0.12100005149841309,34.966364243298166,4,1.5410001277923584
quad_b0.7_S5.dat,29.91636541731496,4,0.07200002670288086,29.91636541851622,4,0.006999969482421875,29.91636541731496,4,0.06299996376037598
quad_b0.7_S50.dat,21.825735187517875,4,1.6480000019073486,21.883293262687353,10,0.1099998950958252,21.825735187517875,4,1.6100001335144043
quad_b10_S10.dat,31.050603260046785,4,0.09100008010864258,31.050603326188394,10,0.023999929428100586,31.050603260046785,4,0.09500002861022949
quad_b10_S15.dat,25.581644859921642,4,0.18000006675720215,30.129003999335985,10,0.0560002326965332,25.581644859921642,4,0.19499993324279785
quad_b10_S20.dat,31.68528039559244,4,0.28099989891052246,31.55328290040623,10,0.07299995422363281,31.68528039559244,4,0.2840001583099365
quad_b10_S25.dat,26.40962554016001,4,0.5469999313354492,26.409625803380642,10,0.06500005722045898,26.40962554016001,4,0.5149998664855957
quad_b10_S30.dat,31.43156553177136,4,0.7920000553131104,31.702593647928914,10,0.12599992752075195,31.43156553177136,4,0.8269999027252197
quad_b10_S35.dat,22.44523053346353,4,0.6500000953674316,24.00927194866865,10,0.125,22.44523053346353,4,0.6749999523162842
quad_b10_S40.dat,32.891274592789216,4,0.8369998931884766,33.12935209108606,10,0.23399996757507324,32.891274592789216,4,0.8190000057220459
quad_b10_S45.dat,34.6837012623396,4,1.3349997997283936,34.521130367206624,10,0.21399998664855957,34.6837012623396,4,1.2920000553131104
quad_b10_S5.dat,30.938738953150924,4,0.0840001106262207,30.938738959499577,10,0.016000032424926758,30.938738953150924,4,0.07799983024597168
quad_b10_S50.dat,25.454030954631893,4,1.9070000648498535,24.603320743171473,10,0.2070000171661377,25.454030954631893,4,1.8550000190734863
quad_b1_S10.dat,28.958784264363317,4,0.09599995613098145,28.958784335106632,10,0.017000198364257812,28.958784264363317,4,0.09499979019165039
quad_b1_S15.dat,24.43229683144865,4,0.27699995040893555,28.09065826191214,10,0.04700016975402832,24.43229683144865,4,0.2669999599456787
quad_b1_S20.dat,31.761062609944553,4,0.23099994659423828,31.30830098040953,10,0.04799985885620117,31.761062609944553,4,0.2220001220703125
quad_b1_S25.dat,27.331586011823802,4,0.49699997901916504,27.331586145780904,10,0.06299996376037598,27.331586011823802,4,0.503000020980835
